"year"	"value"	"month"
"538"	1946	-1.52	9
"548"	1947	-1.98	9
"558"	1948	-0.33	9
"568"	1949	-1.78	9
"578"	1950	-1.99	9
"588"	1951	-1.78	9
"598"	1952	0.78	9
"608"	1953	-0.25	9
"6112"	1954	-1.15	9
"6210"	1955	-1.05	9
"638"	1956	-0.69	9
"648"	1957	-0.48	9
"658"	1958	2.13	9
"668"	1959	-2.34	9
"678"	1960	-2.58	9
"688"	1961	-2.18	9
"698"	1962	-1.49	9
"708"	1963	0.93	9
"7112"	1964	-1.3	9
"7210"	1965	-0.16	9
"738"	1966	-1.98	9
"748"	1967	0.93	9
"758"	1968	-1.72	9
"768"	1969	0.15	9
"778"	1970	-1.95	9
"788"	1971	-0.43	9
"798"	1972	-2.04	9
"808"	1973	-0.93	9
"8112"	1974	-0.49	9
"8210"	1975	-0.56	9
"838"	1976	-0.07	9
"848"	1977	-1.61	9
"858"	1978	1.9	9
"868"	1979	0.38	9
"878"	1980	1.04	9
"888"	1981	-1.99	9
"898"	1982	1.75	9
"908"	1983	5	9
"9112"	1984	0.79	9
"9210"	1985	-1.3	9
"938"	1986	0.16	9
"948"	1987	-2.58	9
"958"	1988	-1.67	9
"968"	1989	-1.7	9
"978"	1990	-1.61	9
"988"	1991	-1.19	9
"998"	1992	-1.66	9
"1008"	1993	1.07	9
"10112"	1994	-2.15	9
"10210"	1995	2.08	9
"1038"	1996	-0.4	9
"1048"	1997	-1.22	9
"1058"	1998	3.78	9
"1068"	1999	0.31	9
"1078"	2000	-1.31	9
"1088"	2001	-2.09	9
"1098"	2002	-3.19	9
"1108"	2003	-1.2	9
"11112"	2004	-2.82	9
"11210"	2005	2.11	9
"1138"	2006	-0.27	9
"1148"	2007	-3.13	9
"1158"	2008	-3.2	9
"1168"	2009	-2.77	9
"1178"	2010	-0.35	9
"1188"	2011	1.66	9
"1198"	2012	-1.99	9
"1208"	2013	-2.66	9
"1218"	2014	NA	9
"230"	1895	-0.36	10
"330"	1896	1	10
"430"	1897	0.38	10
"530"	1898	-1.44	10
"630"	1899	0.08	10
"730"	1900	-0.29	10
"830"	1901	0.71	10
"930"	1902	-0.49	10
"1030"	1903	-1.24	10
"1130"	1904	0.9	10
"1210"	1905	0.12	10
"139"	1906	1.59	10
"149"	1907	2.21	10
"159"	1908	-0.04	10
"169"	1909	-0.16	10
"179"	1910	-1.47	10
"189"	1911	-0.05	10
"199"	1912	0.74	10
"209"	1913	-0.65	10
"2113"	1914	0.21	10
"2211"	1915	0.22	10
"239"	1916	0.6	10
"249"	1917	-1.02	10
"259"	1918	-0.35	10
"269"	1919	-0.89	10
"279"	1920	0.06	10
"289"	1921	-0.07	10
"299"	1922	0.38	10
"309"	1923	0.25	10
"3113"	1924	-2.51	10
"3211"	1925	0.09	10
"339"	1926	-1.65	10
"349"	1927	0.51	10
"359"	1928	-2.18	10
"369"	1929	-1.97	10
"379"	1930	-1.61	10
"389"	1931	-1.87	10
"399"	1932	-1.18	10
"409"	1933	-1.45	10
"4113"	1934	-2.56	10
"4211"	1935	-0.29	10
"439"	1936	-0.81	10
"449"	1937	-0.59	10
"459"	1938	0.72	10
"469"	1939	-0.44	10
"479"	1940	-1.31	10
"489"	1941	2.59	10
"499"	1942	0.19	10
"509"	1943	-0.17	10
"5113"	1944	-0.61	10
"5211"	1945	0.48	10
"539"	1946	-1.35	10
"549"	1947	-1.37	10
"559"	1948	-0.39	10
"569"	1949	-2.02	10
"579"	1950	-1.18	10
"589"	1951	-1.39	10
"599"	1952	-0.29	10
"609"	1953	-0.48	10
"6113"	1954	-1.53	10
"6211"	1955	-1.51	10
"639"	1956	-0.32	10
"649"	1957	0.18	10
"659"	1958	1.44	10
"669"	1959	-2.57	10
"679"	1960	-2.64	10
"689"	1961	-2.29	10
"699"	1962	-0.09	10
"709"	1963	1.24	10
"7113"	1964	-1.43	10
"7211"	1965	-0.9	10
"739"	1966	-2.26	10
"749"	1967	0.46	10
"759"	1968	-1.51	10
"769"	1969	0.13	10
"779"	1970	-1.94	10
"789"	1971	-0.61	10
"799"	1972	-1.55	10
"809"	1973	-0.77	10
"8113"	1974	-0.32	10
"8211"	1975	-0.04	10
"839"	1976	-0.26	10
"849"	1977	-1.83	10
"859"	1978	1.15	10
"869"	1979	0.69	10
"879"	1980	0.37	10
"889"	1981	-1.36	10
"899"	1982	2.02	10
"909"	1983	4.78	10
"9113"	1984	0.9	10
"9211"	1985	-1.18	10
"939"	1986	-0.07	10
"949"	1987	-2.43	10
"959"	1988	-2.25	10
"969"	1989	-1.22	10
"979"	1990	-1.97	10
"989"	1991	-1.18	10
"999"	1992	-1.29	10
"1009"	1993	0.63	10
"10113"	1994	-2.14	10
"10211"	1995	1.19	10
"1039"	1996	-0.17	10
"1049"	1997	-1.25	10
"1059"	1998	3.31	10
"1069"	1999	-0.31	10
"1079"	2000	-0.71	10
"1089"	2001	-2.33	10
"1099"	2002	-3.39	10
"1109"	2003	-2	10
"11113"	2004	-1.46	10
"11211"	2005	1.88	10
"1139"	2006	-0.76	10
"1149"	2007	-2.83	10
"1159"	2008	-3.28	10
"1169"	2009	-2.22	10
"1179"	2010	0.43	10
"1189"	2011	1.59	10
"1199"	2012	-2.04	10
"1209"	2013	-2.78	10
"1219"	2014	NA	10
"240"	1895	-0.45	11
"340"	1896	1.23	11
"440"	1897	-0.04	11
"540"	1898	-1.57	11
"640"	1899	0.57	11
"740"	1900	0.4	11
"840"	1901	0.42	11
"940"	1902	0	11
"1040"	1903	-0.92	11
"1140"	1904	0.35	11
"1220"	1905	0.26	11
"1310"	1906	1.35	11
"1410"	1907	1.32	11
"1510"	1908	-0.33	11
"1610"	1909	0.24	11
"1710"	1910	-1.39	11
"1810"	1911	-0.76	11
"1910"	1912	0.4	11
"2010"	1913	-0.18	11
"2114"	1914	-0.6	11
"2212"	1915	-0.23	11
"2310"	1916	0.22	11
"2410"	1917	-1.44	11
"2510"	1918	-0.17	11
"2610"	1919	-1.02	11
"2710"	1920	0.49	11
"2810"	1921	-0.55	11
"2910"	1922	0.52	11
"3010"	1923	-0.36	11
"3114"	1924	-2.37	11
"3212"	1925	-0.12	11
"3310"	1926	-0.66	11
"3410"	1927	0.6	11
"3510"	1928	-1.95	11
"3610"	1929	-2.53	11
"3710"	1930	-1.61	11
"3810"	1931	-1.48	11
"3910"	1932	-1.83	11
"4010"	1933	-1.99	11
"4114"	1934	-2.03	11
"4212"	1935	-0.61	11
"4310"	1936	-1.44	11
"4410"	1937	-0.62	11
"4510"	1938	0.1	11
"4610"	1939	-0.97	11
"4710"	1940	-1.53	11
"4810"	1941	2.11	11
"4910"	1942	0.05	11
"5010"	1943	-0.8	11
"5114"	1944	0.36	11
"5212"	1945	0.46	11
"5310"	1946	-0.32	11
"5410"	1947	-1.54	11
"5510"	1948	-0.85	11
"5610"	1949	-2.23	11
"5710"	1950	-0.44	11
"5810"	1951	-1.1	11
"5910"	1952	-0.21	11
"6010"	1953	-0.54	11
"6114"	1954	-1.43	11
"6212"	1955	-1.43	11
"6310"	1956	-1.12	11
"6410"	1957	0.1	11
"6510"	1958	0.74	11
"6610"	1959	-2.96	11
"6710"	1960	-1.92	11
"6810"	1961	-2.01	11
"6910"	1962	-0.49	11
"7010"	1963	1.65	11
"7114"	1964	-0.93	11
"7212"	1965	0.45	11
"7310"	1966	-1.71	11
"7410"	1967	0.39	11
"7510"	1968	-1.42	11
"7610"	1969	-0.16	11
"7710"	1970	-0.96	11
"7810"	1971	-0.75	11
"7910"	1972	-0.69	11
"8010"	1973	0.37	11
"8114"	1974	-0.87	11
"8212"	1975	-0.4	11
"8310"	1976	-0.84	11
"8410"	1977	-2.01	11
"8510"	1978	1.02	11
"8610"	1979	0.66	11
"8710"	1980	-0.58	11
"8810"	1981	-0.23	11
"8910"	1982	2.49	11
"9010"	1983	5.18	11
"9114"	1984	1.62	11
"9212"	1985	-0.48	11
"9310"	1986	-0.62	11
"9410"	1987	-2.1	11
"9510"	1988	-1.92	11
"9610"	1989	-1.55	11
"9710"	1990	-2.33	11
"9810"	1991	-1.59	11
"9910"	1992	-1.82	11
"10010"	1993	0.24	11
"10114"	1994	-1.63	11
"10212"	1995	-0.12	11
"10310"	1996	0.15	11
"10410"	1997	-0.91	11
"10510"	1998	3.21	11
"10610"	1999	-0.74	11
"10710"	2000	-1.07	11
"10810"	2001	-1.92	11
"10910"	2002	-2.96	11
"11010"	2003	-1.82	11
"11114"	2004	-1.11	11
"11212"	2005	1.18	11
"11310"	2006	-1.27	11
"11410"	2007	-3.17	11
"11510"	2008	-3.03	11
"11610"	2009	-2.49	11
"11710"	2010	0.49	11
"11810"	2011	1.31	11
"11910"	2012	-1.96	11
"12010"	2013	-2.82	11
"12110"	2014	NA	11
"250"	1895	-0.85	12
"350"	1896	1.05	12
"450"	1897	-0.41	12
"550"	1898	-1.73	12
"650"	1899	0.5	12
"750"	1900	-0.07	12
"850"	1901	-0.27	12
"950"	1902	0.01	12
"1050"	1903	-1.39	12
"1150"	1904	0.13	12
"1221"	1905	-0.27	12
"1311"	1906	1.84	12
"1411"	1907	1	12
"1511"	1908	-0.61	12
"1611"	1909	0.87	12
"1711"	1910	-1.71	12
"1811"	1911	-1.21	12
"1911"	1912	-0.25	12
"2011"	1913	0.06	12
"2115"	1914	-0.37	12
"2213"	1915	-0.12	12
"2311"	1916	0.39	12
"2411"	1917	-2.21	12
"2511"	1918	-0.31	12
"2611"	1919	-1.17	12
"2711"	1920	0.63	12
"2811"	1921	0.23	12
"2911"	1922	0.83	12
"3011"	1923	-0.71	12
"3115"	1924	-2.06	12
"3213"	1925	-0.73	12
"3311"	1926	-0.34	12
"3411"	1927	0.58	12
"3511"	1928	-1.8	12
"3611"	1929	-2.75	12
"3711"	1930	-2.19	12
"3811"	1931	-0.51	12
"3911"	1932	-1.77	12
"4011"	1933	-1.85	12
"4115"	1934	-1.8	12
"4213"	1935	-0.98	12
"4311"	1936	-0.98	12
"4411"	1937	-0.3	12
"4511"	1938	-0.19	12
"4611"	1939	-1.55	12
"4711"	1940	-0.47	12
"4811"	1941	2.55	12
"4911"	1942	-0.14	12
"5011"	1943	-0.73	12
"5115"	1944	0.17	12
"5213"	1945	0.96	12
"5311"	1946	-0.25	12
"5411"	1947	-1.7	12
"5511"	1948	-0.79	12
"5611"	1949	-2.34	12
"5711"	1950	-0.47	12
"5811"	1951	-0.14	12
"5911"	1952	0.4	12
"6011"	1953	-1.25	12
"6115"	1954	-1.42	12
"6213"	1955	-0.19	12
"6311"	1956	-1.87	12
"6411"	1957	0.1	12
"6511"	1958	-0.8	12
"6611"	1959	-3.02	12
"6711"	1960	-2.09	12
"6811"	1961	-1.95	12
"6911"	1962	-0.75	12
"7011"	1963	0.84	12
"7115"	1964	-0.19	12
"7213"	1965	1	12
"7311"	1966	-0.93	12
"7411"	1967	0.21	12
"7511"	1968	-1.14	12
"7611"	1969	-0.47	12
"7711"	1970	-0.14	12
"7811"	1971	-0.29	12
"7911"	1972	-0.61	12
"8011"	1973	0.46	12
"8115"	1974	-0.92	12
"8213"	1975	-1.2	12
"8311"	1976	-1.63	12
"8411"	1977	-1.5	12
"8511"	1978	0.61	12
"8611"	1979	0.19	12
"8711"	1980	-1.4	12
"8811"	1981	-0.19	12
"8911"	1982	2.86	12
"9011"	1983	5.42	12
"9115"	1984	2.06	12
"9213"	1985	-0.68	12
"9311"	1986	-1.16	12
"9411"	1987	-1.68	12
"9511"	1988	-1.83	12
"9611"	1989	-2.34	12
"9711"	1990	-2.71	12
"9811"	1991	-1.71	12
"9911"	1992	-1.16	12
"10011"	1993	-0.41	12
"10115"	1994	-1.51	12
"10213"	1995	-0.23	12
"10311"	1996	0.76	12
"10411"	1997	-0.75	12
"10511"	1998	2.57	12
"10611"	1999	-1.75	12
"10711"	2000	-1.88	12
"10811"	2001	-1.58	12
"10911"	2002	-2.24	12
"11011"	2003	-1.49	12
"11115"	2004	-0.36	12
"11213"	2005	1.11	12
"11311"	2006	-1.53	12
"11411"	2007	-2.94	12
"11511"	2008	-2.81	12
"11611"	2009	-2.3	12
"11711"	2010	1.71	12
"11811"	2011	0.35	12
"11911"	2012	-1.27	12
"12011"	2013	-3.23	12
"12111"	2014	NA	12
